Sub-borough Area,Subway station,Subway Station Name - correct format,Tech Company,Tech Address
Midtown,Times Square,TIMES SQ-42 ST,salesforce,"1095 Avenue of the Americas, 6th Ave, New York, NY 10036"
FiDi,8 st,8 ST-NYU,facebook,"770 Broadway, Fl 8th, New York, New York 10003"
,Astor,ASTOR PL,,
,14th st - union square,14 ST-UNION SQ,,
Chelsea ,34 st - Hudson Yards,34 ST-HUDSON YD,amazon,"450 W 33rd St, New York, NY 10001"
,34st - Penn Station,34 ST-PENN STA,,
,28 st,28 ST,,
,23 st,23 ST,,
,Spring St,SPRING ST,,
,Prince St,PRINCE ST,,
World Trade Center,Cortlandt St,CORTLANDT ST,spotify,"150 Greenwich St, New York, NY 10007"
,WTC Cortlandt,WTC-CORTLANDT,,
,Fulton St,FULTON ST,,
,Park Place,PARK PLACE,,
Flatiron,18 st,18 ST,wework," 115 W 18th St 2nd Floor, New York, NY 10011"
,14 st,14 ST,,
,,,,
,,,,
,,,google,"85 10th Ave Floor 4, New York, NY 10011"